,b'1993ah\t0.028488\t3',b'28\t0.223905932998\t0.128418942246'
0,0.050043,0.166828851413
1,0.052926,0.1557559148
2,0.070086,0.158466934433
3,0.062668,0.156099434739
4,0.087589,0.187745679272
5,0.078577,0.155635656185
6,0.017227,0.199337179559
7,0.042233,0.167174042338
8,0.045295,0.164981248644
9,0.03648,0.170174952845
10,0.019599,0.184691219687
11,0.100915,0.167333481677
12,0.027342,0.175510835947
13,0.074605,0.15977086456
14,0.026489,0.19131226974
15,0.049922,0.162303819627
16,0.030604,0.173295444142
17,0.016345641,0.142912931364
18,0.0154363,0.148694109648
19,0.030529,0.088750663709
20,0.024525,0.102438504345
21,0.023953,0.107041197195
22,0.026038,0.108499792159
23,0.048948,0.172547618731
24,0.024314,0.181662706307
25,0.015166,0.215239340732
26,0.03572,0.171186987363
27,0.048818,0.160299265066
28,0.0219800059146,0.187544764358
29,0.1244,0.164268687505
30,0.036,0.167885249541
31,0.016321,0.204965074268
32,0.01673,0.209464670311
33,0.0275,0.176364688958
34,0.021793,0.232449382954
35,0.01645,0.250896560248
36,0.023208,0.231479604833
37,0.036457,0.217628588382
38,0.019264,0.24063381695
39,0.017605,0.271650644819
40,0.031528,0.225362488845
41,0.023536,0.234698201629
42,0.016743,0.248385125526
43,0.05371,0.221700260552
44,0.016991,0.309889810973
45,0.027865,0.222426416634
46,0.017173,0.248216009365
47,0.029955,0.224368551768
48,0.016559,0.251177496491
49,0.015,0.161452856549
50,0.0544,0.0860953525286
51,0.1561,0.0841441236726
52,0.0393,0.0991005283825
53,0.1241,0.111614246562
54,0.1441,0.156777491835
55,0.1299,0.12944495155
56,0.0784,0.0872168046336
57,0.0583,0.206256669369
58,0.0309,0.183689296262
59,0.0406,0.172317344841
60,0.0152,0.21507123117
61,0.0224,0.239011369258
62,0.016,0.221115374688
63,0.0362,0.171742204068
64,0.0173,0.215508499624
65,0.0312,0.180216697419
66,0.0221,0.189960682839
67,0.016,0.207959703185
68,0.0249,0.193523924165
69,0.0303,0.17674738626
70,0.0283,0.180124445838
71,0.0152,0.241474862259
72,0.0345,0.211562474249
73,0.036,0.179022122406
74,0.0248,0.184605302796
75,0.0292,0.174820107635
76,0.0163,0.212891042717
77,0.0187,0.197196789214
78,0.0195,0.197526188093
79,0.0256,0.186173891969
80,0.0337,0.179737453597
81,0.0546,0.176655181089
82,0.024,0.195512674436
83,0.0336,0.18852047363
84,0.0341,0.175222461707
85,0.0261,0.192469561714
86,0.0211,0.188393367669
87,0.0321,0.173845159832
88,0.0221,0.189014756295
89,0.0334,0.1757727334
90,0.0341,0.172834591542
91,0.0421,0.169930417471
92,0.0576,0.161852672221
93,0.0205,0.191412743444
94,0.0402,0.17063734958
95,0.026,0.183933665117
96,0.0259,0.178489658823
97,0.0239,0.181392417208
98,0.069,0.176163639895
99,0.0651,0.162808584338
100,0.0229,0.185459075264
101,0.0315,0.170993523745
102,0.0215,0.187040817965
103,0.0255,0.196167302112
104,0.0325,0.170394735896
105,0.0843,0.200253645227
106,0.0308,0.178370444318
107,0.0327,0.16949230504
108,0.0423,0.171582196702
109,0.0684,0.170591643132
110,0.0153,0.213242896074
111,0.0233,0.183424685088
112,0.0491,0.175843223164
113,0.0425,0.195296013078
114,0.0192,0.197842881265
115,0.0308,0.173310004596
116,0.0212,0.19152972211
117,0.0277,0.183298735051
118,0.0335,0.170490251613
119,0.0208,0.201629405401
120,0.0173,0.220994474003
121,0.036,0.177000363965
122,0.0233,0.185738575456
123,0.0589,0.16568235078
124,0.0583,0.16808968138
125,0.0688,0.198025808769
126,0.0321,0.175025422739
127,0.0522,0.189117803003
128,0.0308,0.172493084423
129,0.0329,0.170393175896
130,0.023,0.186848384979
131,0.015,0.217348534701
132,0.0321,0.1737410077
133,0.0643,0.166008010074
134,0.032,0.193104691662
135,0.0209,0.19422693515
136,0.0219,0.188387184264
137,0.032,0.173446310936
138,0.0151,0.213682160531
139,0.0192,0.197091647943
140,0.0266,0.177716836428
141,0.0377,0.294106560612
142,0.0247,0.181621011598
143,0.0242,0.180174916343
144,0.0366,0.168963687947
145,0.0229,0.183018039949
146,0.0312,0.173762463024
147,0.015,0.213388869977
148,0.0341,0.177569140796
149,0.0251,0.179222700336
150,0.0189,0.209571630196
151,0.029802136901,0.122226817874
152,0.0321340168614,0.127512090116
153,0.0275687259109,0.128117983088
154,0.0469673346156,0.110309142172
155,0.0183152320362,0.160464926406
156,0.0800481440021,0.101968492144
157,0.0241852990802,0.133368622118
158,0.0150270427632,0.178117024083
159,0.0283960268116,0.125198881719
160,0.0449766726113,0.108342547225
161,0.0329123710881,0.118114324121
162,0.0753501119815,0.102274672969
163,0.0203747245299,0.145603349944
164,0.0229711675782,0.135640926041
165,0.0268091974805,0.127879595703
166,0.0179312833626,0.155413940574
167,0.0483921953954,0.119215628214
168,0.0566833670752,0.110070937939
169,0.0638640836964,0.119614965162
170,0.146290296068,0.120248735474
171,0.129278206634,0.134402615626
172,0.102715033935,0.119892508421
173,0.242504680476,0.150915056663
174,0.29840927363,0.21581859647
175,0.0437189114895,0.127214292529
176,0.113042644637,0.119237437717
177,0.256475742725,0.156286225391
178,0.295585550063,0.215064876219
179,0.380359487336,0.217910527631
180,0.145668547261,0.125750126249
181,0.273454768884,0.163668270948
182,0.297518833561,0.205185826917
183,0.378965802039,0.197094007682
184,0.380416514286,0.198558434394
185,0.301755029535,0.246761480943
186,0.348345020835,0.217774889061
187,0.0856894593607,0.116365280048
188,0.260586108317,0.141595051803
189,0.215543320953,0.140207657342
190,0.117625328764,0.113609962836
191,0.18221823956,0.119334463704
192,0.357507357032,0.202587682493
193,0.141787999126,0.119521982693
194,0.260533476953,0.148279348857
195,0.232781107182,0.15178836784
196,0.151857894665,0.113847311938
197,0.0939086318905,0.117952906116
198,0.286618706522,0.133800275646
199,0.194316512142,0.126373844923
200,0.147025138268,0.111657296738
201,0.2115869815,0.159324733885
202,0.180119779968,0.115560254718
203,0.263491026592,0.127293080139
204,0.192149980044,0.121087443202
205,0.338802609134,0.170908367946
206,0.117277362889,0.113702596154
207,0.1424046524,0.113661193986
208,0.160861854636,0.11864489981
209,0.288418344585,0.149598782119
210,0.12282889997,0.12106543913
211,0.263647950642,0.139823620366
212,0.126473161901,0.119200794649
213,0.172742230556,0.113458015916
214,0.163795894987,0.113134872307
215,0.249511054792,0.132323047466
216,0.257740303509,0.135891055781
217,0.106712340103,0.117621429285
218,0.159889937748,0.114747057769
219,0.204979685349,0.123526942937
220,0.244378876797,0.124309900698
221,0.248508130676,0.125645589328
222,0.228528473881,0.12201137132
223,0.0858546441437,0.112589853288
224,0.0618357646938,0.115680071342
225,0.277853422619,0.168994207516
226,0.275440197435,0.142941615821
227,0.155247328221,0.115415755865
228,0.330512448683,0.156723683034
229,0.361934308832,0.166441914984
230,0.33063462833,0.152699339448
231,0.144621085972,0.112727024487
232,0.389288787688,0.200867575788
233,0.173910056566,0.128967775815
234,0.300312695802,0.15150098613
235,0.116348502599,0.112296117135
236,0.218585189041,0.117113950953
237,0.119671538006,0.110740033634
238,0.154632097239,0.112047393667
239,0.408319092164,0.206369618511
240,0.177600694977,0.12481415503
241,0.25066763111,0.120970959661
242,0.251740186424,0.118440110682
243,0.391599213441,0.171564315895
244,0.128726735467,0.109513340257
245,0.399601334976,0.205132433748
246,0.309492645411,0.134960171498
247,0.170628396749,0.116376625267
248,0.278924676328,0.130157044183
249,0.308580866071,0.177652782589
250,0.18581244671,0.120667757481
251,0.0664403123402,0.1175824014
252,0.316429844695,0.192866122248
253,0.257497888297,0.131393591319
254,0.298777444088,0.154536935815
255,0.270434442827,0.145477928824
256,0.27945473261,0.138724732909
257,0.292469756082,0.141400626542
258,0.188853175387,0.119741860505
259,0.265762479518,0.124803942242
260,0.124273528772,0.111134858876
261,0.182548913397,0.114083136974
262,0.312883364158,0.139506514174
263,0.309547337158,0.154012332803
264,0.0890194292939,0.117432705446
265,0.402459619216,0.211278493994
266,0.200611719928,0.132867364384
267,0.326396483203,0.144388065833
268,0.211629598493,0.115235180715
269,0.17968564077,0.116984880342
270,0.0931494026855,0.114453830019
271,0.30240162108,0.134910116135
272,0.108638265524,0.119489654857
273,0.0856961170652,0.117971237872
274,0.202608679897,0.128807331127
275,0.196716068579,0.134983153598
276,0.12668798909,0.123937308071
277,0.214568258658,0.11698744578
278,0.320446988861,0.134380311167
279,0.218347445403,0.124421502953
280,0.189706566951,0.119682792229
281,0.0929368181997,0.118950355954
282,0.379662293575,0.147219740299
283,0.210938395061,0.120818770577
284,0.366602898789,0.198404429556
285,0.420926821103,0.202321001311
286,0.258028270562,0.137108498782
287,0.183568404877,0.123775734742
288,0.212548765094,0.13157696281
289,0.360034211989,0.175048186524
290,0.393974478272,0.150707319622
291,0.11471262087,0.113372328428
292,0.143705907,0.116311967547
293,0.252486060029,0.145050195669
294,0.387297107465,0.18642986619
295,0.348583857544,0.177371887871
296,0.255490620022,0.150967373278
297,0.216582821954,0.152479838933
298,0.43,0.357827626062
299,0.62,0.390344663066
300,0.57,0.388952633173
301,0.3,0.314865571912
302,0.38,0.327833114422
303,0.43,0.458327873977
304,0.24,0.402844159873
305,0.44,0.319794878908
306,0.5,0.317337166801
307,0.97,0.805210302782
308,0.479,0.358136299792
309,0.83,0.471046842772
310,0.416,0.556342333092
311,0.581,0.505033960368
312,0.45,0.453701962845
313,0.579,0.643297806625
314,0.32,0.420998113276
315,0.657,0.658728481435
316,0.43,0.608328916424
317,0.472,0.514472850425
318,0.374,0.923198713714
319,0.18,0.445447560867
320,0.55,1.00681218041
321,0.592,0.717963493004
322,0.172,0.429709120635
323,0.526,0.513679185483
324,0.763,0.898163121417
325,0.58,0.519962251252
326,0.43,0.458804990654
327,0.45,0.589947886789
328,0.656,0.627202505766
329,0.495,0.443653473108
330,0.49,0.446484505947
331,0.57,0.470382088569
332,0.388,0.465017827284
333,0.45,0.508290617768
334,0.48,0.521420422571
335,0.615,0.556222743429
336,0.4,0.477589020966
337,0.655,0.497081624743
338,0.498,0.642406504117
339,0.465,0.600030636232
340,0.453,0.524912951846
341,0.425,0.489149082777
342,0.514,0.493735911043
343,0.423,0.243579000627
344,0.859,0.296965045086
345,0.936,0.705981399741
346,0.528,0.24429067529
347,0.978,0.292647301809
348,0.885,0.286230184051
349,0.815,0.728921730286
350,0.698,0.433480217975
351,0.568,0.289546896784
352,0.711,0.366725181041
353,0.3396,0.226527941211
354,0.3965,0.202374999057
355,0.812,0.379016341937
356,0.799,0.233174228134
357,0.882,0.583987119465
358,0.833,0.520913245917
359,0.874,0.388089303157
360,0.772,0.218834770025
361,0.178,0.235746048095
362,0.26,0.199851735971
363,0.186,0.189043139487
364,0.269,0.25640063853
365,0.215,0.193933997767
366,0.543,0.0981414342081
367,0.75,0.138318457637
368,0.64,0.18880937743
369,0.43,0.148171058429
370,0.64,0.193749016644
371,0.497,0.167980194286
372,0.44,0.107484807666
373,0.355,0.20146843402
374,0.78,0.171318833305
375,0.54,0.111551880919
376,0.86,0.172411965167
377,0.468,0.1639147706
378,0.84,0.222348502282
379,0.96,0.275514631381
380,0.8218,0.21320698395
381,0.93,0.289918379066
382,0.451,0.143055821894
383,0.61,0.156248253322
384,0.83,0.208835355956
385,0.707,0.256253916455
386,0.415,0.141093702805
387,0.557,0.157456031152
388,0.791,0.201343679161
389,0.695,0.20544919439
390,0.633,0.169957137727
391,0.2486,0.154515955385
392,0.532,0.166651053217
393,0.331,0.137704766569
394,0.346,0.15221324645
395,0.961,0.340056560686
396,0.613,0.165096720419
397,0.3402,0.135546197344
398,0.983,0.43499764107
399,0.71,0.184280954678
400,0.73,0.194894052413
401,0.47,0.15323960172
402,0.62,0.169564685824
403,0.521,0.160996803083
404,0.369,0.152644121885
405,0.571,0.174223963618
406,0.604,0.15968704969
407,0.9271,0.286707554506
408,0.285,0.136594130276
409,0.2912,0.146624503178
410,0.548,0.18837089341
411,0.868,0.24609516526
412,0.496,0.152814539841
413,0.811,0.210619526441
414,0.756,0.192775955331
415,0.817,0.210286863572
416,0.752,0.207071436502
417,0.5516,0.149254872779
418,0.3578,0.136096151868
419,1.01,0.375672417143
420,0.741,0.223286859678
421,0.43,0.15108214332
422,0.526,0.16694309723
423,0.592,0.172394047168
424,0.905,0.25746754741
425,0.949,0.284630783131
426,0.4607,0.18126245549
427,0.3709,0.154834006045
428,0.8,0.215165244047
429,0.679,0.195969077309
430,0.5817,0.159803369147
431,0.55,0.15520464155
432,0.81,0.212685692189
433,0.95,0.291243768847
434,0.3373,0.137240588972
435,0.91,0.267241049423
436,0.263,0.134567832845
437,0.643,0.166369771753
